Index,0,1,2,3,4,5,6,7
L1-2S-60X30-GWB,58.6016587,68.0303847,70.6044547,70.1113997,76.9515257,81.6750587,89.1501977,93.4399367
L1-3S-60X30-GWB,85.3484258,97.3190578,107.9613558,108.9776368,115.2537428,121.9452038,130.3544218,130.3544218
L1-2S-100X30-GWB,47.961136,56.223845,58.576453,60.979905,66.589552,67.607946,72.814769,80.11445
L1-3S-100X30-GWB,67.769672,75.174404,84.255019,90.215707,93.155542,98.209695,103.828255,120.6718
L1-2S-60X30-HWS,57.2800064,67.5121974,70.9254564,69.0681874,74.4944944,80.7174224,88.1855444,94.3856144
L1-3S-60X30-HWS,73.191042,74.963722,74.956269,74.951882,74.953182,74.957088,74.952972,74.952972
L1-2S-100X30-HWS,49.454204,58.669011,60.869417,59.822599,65.706468,66.008322,70.511497,77.925022
L1-3S-100X30-HWS,67.535056,74.792712,80.536983,86.861949,86.004266,90.175083,91.473963,91.467508
L2-2S-60X50-GWB,52.37361,56.17872,62.214475,68.181619,75.265371,85.536384,85.536384,95.042758
L2-3S-60X50-GWB,61.394692,68.338797,68.314262,70.562156,76.180138,79.674239,85.881903,88.820256
L2-2S-100X50-GWB,75.284764,85.448438,94.196113,102.701485,115.025742,118.489712,131.396009,145.544179
L2-3S-100X50-GWB,95.457628,99.08511,108.31664,112.409543,122.207308,119.7203,123.794092,129.292797
L2-2S-60X50-HWS,59.535158,64.37983,70.45793,78.594231,86.520385,96.139295,96.139295,107.141132
L2-3S-60X50-HWS,61.286024,69.272624,69.264498,67.399156,73.288446,77.044365,83.319852,86.880618
L2-2S-100X50-HWS,84.169644,94.490056,105.705739,108.746299,122.599755,126.397077,139.960935,154.652122
L2-3S-100X50-HWS,85.821914,88.457878,98.044339,102.334862,102.305571,102.321222,102.314084,102.308414
L3-2S-50X30-GWB,18.766322,18.766322,19.908321,22.383923,23.955177,26.685578,27.835129,29.373211
L3-3S-50X30-GWB,23.798098,26.478704,29.206535,30.569179,32.134472,33.642243,35.109152,37.976707
L3-2S-80X30-GWB,24.242544,24.242544,25.4245,27.425839,28.822591,30.804907,31.93262,33.381716
L3-3S-80X30-GWB,29.168783,31.185652,33.46667,33.465457,33.465877,33.464791,33.465347,33.469157
L3-2S-50X30-HWS,21.150835,21.150835,20.754431,23.42748,24.66079,27.373768,28.434029,29.850866
L3-3S-50X30-HWS,19.732084,19.730657,19.733174,19.734782,19.741098,19.739899,19.736862,19.738883
L3-2S-80X30-HWS,22.513506,22.513506,21.641521,24.257605,25.775572,28.61502,30.046925,31.33842
L3-3S-80X30-HWS,17.180526,17.183146,17.186229,17.187311,17.185159,17.186287,17.186092,17.187609
L4-2S-60X50-GWB,22.300945,26.118593,26.118593,29.393132,34.293287,34.293287,34.293287,36.559696
L4-3S-60X50-GWB,29.528821,34.449662,34.449662,36.720128,40.721026,43.576623,47.830077,50.376601
L4-2S-100X50-GWB,21.313724,21.313724,25.021657,25.021657,28.047659,28.047659,32.408364,32.408364
L4-3S-100X50-GWB,25.102618,28.129702,32.454613,32.454613,34.489944,38.105802,40.771633,44.804519
L4-2S-60X50-HWS,21.699794,27.25722,27.25722,32.163762,39.59048,39.59048,39.59048,39.305515
L4-3S-60X50-HWS,29.937114,37.220274,37.220274,37.956694,42.759958,44.142112,47.038528,48.208511
L4-2S-100X50-HWS,20.542479,20.542479,25.066326,25.066326,28.928451,28.928451,35.062221,35.062221
L4-3S-100X50-HWS,23.306959,26.945564,32.426533,32.426533,34.346465,38.835596,42.183656,47.758027
