NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,X Diff,Z Diff,X 1st Inc,Z 1st Inc
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,52.9565446,30.0536013,0,0
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,52.470068,29.5523987,0,0
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,67.559162,23.1690666,0,0
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,66.846046,23.2913522,0,0
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,32.4440582,7.9215906,0,0
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,31.9583982,7.4381956,0,0
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,37.3474712,4.2190582,0,0
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,36.638071,3.51061,0,0
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,4.9877456,65.5285856,0,0
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,4.278564,64.819446,0,0
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,5.427399,65.851532,0,0
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,4.410966,64.834115,0,0
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,0,38.4404154,0,0
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,0,37.738454,0,0
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,0,38.751281,0,0
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,0,37.743296,0,0
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,6.4384492,19.4241745,0,0
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,6.056235,19.0368362,0,0
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,7.7117164,7.7674264,0,0
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,7.111998,7.16805,0,0
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0,6.4216628,0,0
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0,6.0340856,0,0
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,0,0,0,0
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,0,0,0,0
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,4.1299326,19.8184516,0,0
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,0,19.109312,0,0
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,0,11.429334,0,0
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,0,10.411917,0,0
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,0,5.9646174,0,0
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,0,5.262656,0,0
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,0,0,0,0
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,0,0,0,0
