Index,X Diff,Z Diff
Building_T1-60x30-S2-GS,115.8157938,96.696771
Building_T1-60x30-S3-GS,115.3293172,96.2097084
Building_T1-100x30-S2-GS,193.088796,95.964777
Building_T1-100x30-S3-GS,192.375671,95.250894
Building_T1-60x30-S2-PS,81.7995108,56.0397918
Building_T1-60x30-S3-PS,81.3138508,55.5563968
Building_T1-100x30-S2-PS,136.4068292,55.4388572
Building_T1-100x30-S3-PS,135.697429,54.730409
Building_T2-60x50-S2-GS,115.2379266,161.0612066
Building_T2-60x50-S3-GS,114.528745,160.352067
Building_T2-100x50-S2-GS,192.229974,160.186799
Building_T2-100x50-S3-GS,191.213541,159.169382
Building_T2-60x50-S2-PS,81.2233566,93.3250164
Building_T2-60x50-S3-PS,80.513588,92.623055
Building_T2-100x50-S2-PS,135.532463,92.470644
Building_T2-100x50-S3-PS,134.51792,91.462659
Building_T3-50x30-S2-GS,98.1442022,71.8791101
Building_T3-50x30-S3-GS,97.761988,71.4917718
Building_T3-80x30-S2-GS,154.4108104,96.2589784
Building_T3-80x30-S3-GS,153.811092,95.659602
Building_T3-50x30-S2-PS,69.7236663,50.3234008
Building_T3-50x30-S3-PS,69.3416382,49.9358236
Building_T3-80x30-S2-PS,109.0744014,55.7167122
Building_T3-80x30-S3-PS,108.477109,55.121221
Building_T4-60x50-S2-GS,115.2379266,161.0612066
Building_T4-60x50-S3-GS,114.528745,160.352067
Building_T4-100x50-S2-GS,192.229974,160.186799
Building_T4-100x50-S3-GS,191.213541,159.169382
Building_T4-60x50-S2-PS,81.2233566,93.3250164
Building_T4-60x50-S3-PS,80.513588,92.623055
Building_T4-100x50-S2-PS,135.532463,92.470644
Building_T4-100x50-S3-PS,134.51792,91.462659
