Index,Complete
L1-2S-60X30-GWB,0.995552058
L1-3S-60X30-GWB,0.706738266
L1-2S-100X30-GWB,0.915376981
L1-3S-100X30-GWB,0.674339449
L1-2S-60X30-HWS,1.069526334
L1-3S-60X30-HWS,0.768738959
L1-2S-100X30-HWS,0.970589144
L1-3S-100X30-HWS,0.749400956
L2-2S-60X50-GWB,0.951045154
L2-3S-60X50-GWB,0.718818681
L2-2S-100X50-GWB,0.762125163
L2-3S-100X50-GWB,0.581019065
L2-2S-60X50-HWS,1.039930421
L2-3S-60X50-HWS,0.722356336
L2-2S-100X50-HWS,0.825268005
L2-3S-100X50-HWS,0.570251375
L3-2S-50X30-GWB,1.213697833
L3-3S-50X30-GWB,0.89266735
L3-2S-80X30-GWB,1.156965784
L3-3S-80X30-GWB,0.902641615
L3-2S-50X30-HWS,1.287908544
L3-3S-50X30-HWS,0.984033933
L3-2S-80X30-HWS,1.264977613
L3-3S-80X30-HWS,0.981108442
L4-2S-60X50-GWB,1.145506844
L4-3S-60X50-GWB,0.877225138
L4-2S-100X50-GWB,1.006592747
L4-3S-100X50-GWB,0.796036266
L4-2S-60X50-HWS,1.310913976
L4-3S-60X50-HWS,0.969734435
L4-2S-100X50-HWS,1.159738209
L4-3S-100X50-HWS,0.889519389
