Index,Xpeakstrength,Zpeakstrength
L1-2S-60X30-GWB,1.849755496,1.461226007
L1-3S-60X30-GWB,1.870309265,1.483992713
L1-2S-100X30-GWB,1.54017457,1.323828578
L1-3S-100X30-GWB,1.549972101,1.351165264
L1-2S-60X30-HWS,1.6628458,1.169495903
L1-3S-60X30-HWS,1.683374289,1.185804084
L1-2S-100X30-HWS,1.377023024,1.095621465
L1-3S-100X30-HWS,1.385832731,1
L2-2S-60X50-GWB,1.044310678,1.69062602
L2-3S-60X50-GWB,1.051922504,1.707540275
L2-2S-100X50-GWB,1.02705867,1.706305203
L2-3S-100X50-GWB,1.031790215,1.733627052
L2-2S-60X50-HWS,1,1.709108092
L2-3S-60X50-HWS,1,1.740036413
L2-2S-100X50-HWS,1.016269959,1.737198543
L2-3S-100X50-HWS,1,1.78956761
L3-2S-50X30-GWB,1.067154509,1.374563439
L3-3S-50X30-GWB,1.067930484,1.38955409
L3-2S-80X30-GWB,1.049242199,1.086694411
L3-3S-80X30-GWB,1.049878531,1.093699514
L3-2S-50X30-HWS,1,1.145948807
L3-3S-50X30-HWS,1,1.157426309
L3-2S-80X30-HWS,1,1
L3-3S-80X30-HWS,1,1
L4-2S-60X50-GWB,1.031826901,1.137856113
L4-3S-60X50-GWB,1,1.141271067
L4-2S-100X50-GWB,1,1.071856157
L4-3S-100X50-GWB,1,1.07404939
L4-2S-60X50-HWS,1,1.063415928
L4-3S-60X50-HWS,1,1.067651278
L4-2S-100X50-HWS,1,1
L4-3S-100X50-HWS,1,1
