Index,SlightLoss,ModerateLoss,SevereLoss,Complete Loss
L1-2S-60X30-GWB,423842.118,823585.3561,863910.8187,947738
L1-3S-60X30-GWB,636320.2878,1258981.97,1319554.02,1425796
L1-2S-100X30-GWB,701466.6935,1394010.582,1445149.849,1581402
L1-3S-100X30-GWB,1238910.323,1882666.393,2102218.75,2376744
L1-2S-60X30-HWS,396539.1044,805805.3817,898183.6863,946764
L1-3S-60X30-HWS,638968.9224,1290360.521,1322667.619,1424298
L1-2S-100X30-HWS,635997.3358,1381483.115,1516729.315,1579900
L1-3S-100X30-HWS,1220791.8,1940558.634,2276561.686,2374634
L2-2S-60X50-GWB,799624.4886,1336925.422,1381176.257,1580252
L2-3S-60X50-GWB,1186708.902,2046159.74,2153316.947,2375412
L2-2S-100X50-GWB,1176294.035,2212990.354,2255494.569,2638440
L2-3S-100X50-GWB,2116733.934,3445274.772,3467924.462,3960520
L2-2S-60X50-HWS,701000.6065,1435661.219,1469737.234,1578488
L2-3S-60X50-HWS,1199977.003,2065296.183,2124977.439,2375368
L2-2S-100X50-HWS,1093168.276,2181762.745,2456043.551,2636426
L2-3S-100X50-HWS,1708705.089,3202877.589,3755209.175,3958600
L3-2S-50X30-GWB,314466.428,696267.4086,717973.6635,786980
L3-3S-50X30-GWB,570111.7874,1038214.887,1094003.831,1185836
L3-2S-80X30-GWB,471988.0378,1087632.749,1144690.316,1261240
L3-3S-80X30-GWB,934760.05,1551300.505,1776395.085,1898216
L3-2S-50X30-HWS,274544.7659,682005.0854,726416.1552,786698
L3-3S-50X30-HWS,589248.1608,1006182.364,1132572.622,1184304
L3-2S-80X30-HWS,516641.8798,1057265.289,1192135.713,1259094
L3-3S-80X30-HWS,824370.129,1508932.743,1732920.145,1895670
L4-2S-60X50-GWB,799590.0066,1311049.409,1415847.486,1575784
L4-3S-60X50-GWB,1325134.044,1973929.268,2093298.98,2371766
L4-2S-100X50-GWB,1389855.118,2331416.315,2341263.433,2631830
L4-3S-100X50-GWB,2579729.051,3410688.512,3477243.976,3956420
L4-2S-60X50-HWS,738637.2998,1309784.156,1493326.148,1571816
L4-3S-60X50-HWS,1081707.759,2220685.184,2212506.83,2367996
L4-2S-100X50-HWS,1031047.593,2185563.172,2411339.688,2627568
L4-3S-100X50-HWS,1707535.187,3346948.861,3650067.078,3954440
