Index,NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,Xpeakstrength,Zpeakstrength
L1-2S-60X30-GWB,2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,0.335198,0.353441
L1-3S-60X30-GWB,3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,0.197333,0.206614
L1-2S-100X30-GWB,2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,0.436564,0.249597
L1-3S-100X30-GWB,3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,0.260454,0.145004
L1-2S-60X30-HWS,2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,0.262061,0.253334
L1-3S-60X30-HWS,3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,0.15325,0.146634
L1-2S-100X30-HWS,2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,0.343384,0.171406
L1-3S-100X30-HWS,3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,0.203842,0.097159
L2-2S-60X50-GWB,2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,0.377547,0.327717
L2-3S-60X50-GWB,3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,0.224495,0.195474
L2-2S-100X50-GWB,2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,0.421133,0.210485
L2-3S-100X50-GWB,3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,0.253478,0.124793
L2-2S-60X50-HWS,2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,0.267973,0.186035
L2-3S-60X50-HWS,3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,0.156474,0.108935
L2-2S-100X50-HWS,2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,0.297874,0.117537
L2-3S-100X50-HWS,3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,0.177051,0.067592
L3-2S-50X30-GWB,2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.602199,0.340877
L3-3S-50X30-GWB,3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0.362491,0.202169
L3-2S-80X30-GWB,2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,0.601655,0.359544
L3-3S-80X30-GWB,3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,0.364231,0.214751
L3-2S-50X30-HWS,2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.478146,0.284284
L3-3S-50X30-HWS,3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,0.286834,0.167461
L3-2S-80X30-HWS,2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,0.454323,0.21847
L3-3S-80X30-HWS,3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,0.273896,0.127442
L4-2S-60X50-GWB,2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,0.374835,0.477701
L4-3S-60X50-GWB,3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,0.22593,0.289011
L4-2S-100X50-GWB,2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,0.419618,0.329745
L4-3S-100X50-GWB,3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,0.255145,0.199408
L4-2S-60X50-HWS,2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,0.276765,0.293253
L4-3S-60X50-HWS,3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,0.165482,0.175397
L4-2S-100X50-HWS,2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,0.304916,0.194092
L4-3S-100X50-HWS,3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,0.184101,0.115207
