,Event Index,Existing,Ordinance,Algorithm,Ordinance/Algorithm,Algorithm Reduction/Ordinance Reduction
0,PuenteHill,7987528413,6533893282,7036782394,1.08,0.65
1,98,3219595524,2092337889,2489310478,1.19,0.65
3,969,609524765.9,400366344.5,472200144.5,1.18,0.66
4,2177,1191893801,726397907.3,878923324.7,1.21,0.67
5,3110,3849617508,2576841485,2915486360,1.13,0.73
6,4393,7123215727,5272896391,5878975495,1.11,0.67
8,5278,5430743107,3891260761,4393139018,1.13,0.67
9,5575,1356935619,864420015.2,1055054585,1.22,0.61
10,5675,3548714526,2402799684,2818704903,1.17,0.64
11,5846,3538984562,2359719095,2792052228,1.18,0.63
13,6965,5397087031,3901788142,4446009706,1.14,0.64
14,7396,3101537142,2058237860,2392626232,1.16,0.68
15,7572,7272369756,5425567133,6022229358,1.11,0.68
16,7604,1433911765,884872589,1040198290,1.18,0.72
17,7681,2310217260,1464858894,1717217458,1.17,0.70
18,7718,6860833805,5140115951,5668684005,1.10,0.69
19,8033,4618181866,3212238391,3675129699,1.14,0.67
,,,,,,
,,,,,,
,,,,,,
,,Event Index,Ordinance/Algorithm,Algorithm Reduction/Ordinance Reduction,,
,,PuenteHill,1.08,0.65,,
,,98,1.19,0.65,,
,,969,1.18,0.66,,
,,2177,1.21,0.67,,
,,3110,1.13,0.73,,
,,4393,1.11,0.67,,
,,5278,1.13,0.67,,
,,5575,1.22,0.61,,
,,5675,1.17,0.64,,
,,5846,1.18,0.63,,
,,6965,1.14,0.64,,
,,7396,1.16,0.68,,
,,7572,1.11,0.68,,
,,7604,1.18,0.72,,
,,7681,1.17,0.70,,
,,7718,1.10,0.69,,
,,8033,1.14,0.67,,
,,,1.15,,,
