Index,Median,Max
L1-2S-60X30-GWB,1.527108314,1.666462753
L1-3S-60X30-GWB,1.355116352,1.287792853
L1-2S-100X30-GWB,1.16835346,1.232671143
L1-3S-100X30-GWB,1.037108946,1.084039576
L1-2S-60X30-HWS,1.944636372,2.098766371
L1-3S-60X30-HWS,1.55661518,1.498808579
L1-2S-100X30-HWS,1.407781234,1.448854151
L1-3S-100X30-HWS,1.319433739,1.300340648
L2-2S-60X50-GWB,1.397325752,1.467112942
L2-3S-60X50-GWB,1.006639251,1.089370397
L2-2S-100X50-GWB,1.187468955,1.336684965
L2-3S-100X50-GWB,1.000635179,1.053574146
L2-2S-60X50-HWS,1.793914623,1.955905883
L2-3S-60X50-HWS,1.346688067,1.376433613
L2-2S-100X50-HWS,1.471544994,1.713855614
L2-3S-100X50-HWS,1.299718195,1.204110015
L3-2S-50X30-GWB,1.409438749,1.445707306
L3-3S-50X30-GWB,1.164274491,1.147741173
L3-2S-80X30-GWB,1.332331389,1.362392625
L3-3S-80X30-GWB,1.046216093,1.031296736
L3-2S-50X30-HWS,1.641735836,1.719149744
L3-3S-50X30-HWS,1.368267327,1.352148163
L3-2S-80X30-HWS,1.620289469,1.644822307
L3-3S-80X30-HWS,1.343199672,1.330401194
L4-2S-60X50-GWB,1.30437814,1.319921541
L4-3S-60X50-GWB,1.088757234,1.117663929
L4-2S-100X50-GWB,1.104664231,1.123912165
L4-3S-100X50-GWB,0.929963774,0.969621596
L4-2S-60X50-HWS,1.586036812,1.618998549
L4-3S-60X50-HWS,1.439332785,1.462687235
L4-2S-100X50-HWS,1.327411269,1.338349708
L4-3S-100X50-HWS,1.149755091,1.248013891
