Index,X,Z
L1-2S-60X30-GWB,0,0
L1-3S-60X30-GWB,0,0
L1-2S-100X30-GWB,0,0
L1-3S-100X30-GWB,0,0
L1-2S-60X30-HWS,0,0
L1-3S-60X30-HWS,0,0
L1-2S-100X30-HWS,0,0
L1-3S-100X30-HWS,0,45.419513
L2-2S-60X50-GWB,0,0
L2-3S-60X50-GWB,0,0
L2-2S-100X50-GWB,0,0
L2-3S-100X50-GWB,0,0
L2-2S-60X50-HWS,76.86007,0
L2-3S-60X50-HWS,73.444081,0
L2-2S-100X50-HWS,130.101499,0
L2-3S-100X50-HWS,125.578909,0
L3-2S-50X30-GWB,0,0
L3-3S-50X30-GWB,0,0
L3-2S-80X30-GWB,0,0
L3-3S-80X30-GWB,0,0
L3-2S-50X30-HWS,0,0
L3-3S-50X30-HWS,0,0
L3-2S-80X30-HWS,0,52.811056
L3-3S-80X30-HWS,0,50.2364
L4-2S-60X50-GWB,0,0
L4-3S-60X50-GWB,107.272652,0
L4-2S-100X50-GWB,186.15491,0
L4-3S-100X50-GWB,182.720015,0
L4-2S-60X50-HWS,80.885908,0
L4-3S-60X50-HWS,78.571602,0
L4-2S-100X50-HWS,135.269698,86.104906
L4-3S-100X50-HWS,131.84277,82.50478
